title,year,Show_type,Source,Subscription,content_type,Added_to_site,Updated_at_DB
The Odds,2013,MO,Amazon,Purchase,Recently_Added,"Apr 04, 2020","Apr 05, 2020"
The Other Kennedys,2020,TVSeason,Amazon,New Prime,Recently_Added,"Apr 04, 2020","Apr 05, 2020"
The People That Time Forgot,1977,MO,Amazon,New Prime,Recently_Added,"Apr 04, 2020","Apr 05, 2020"
The Romance of the Condor Heroes,2014,TVSeason,Amazon,New Prime,Recently_Added,"Apr 04, 2020","Apr 05, 2020"
The Silent Souls,2018,MO,Amazon,New Prime,Recently_Added,"Apr 04, 2020","Apr 05, 2020"
The Warsaw Ghetto,2005,MO,Amazon,New Prime,Recently_Added,"Apr 04, 2020","Apr 05, 2020"
The Windermere Children: In Their Own Words,2020,MO,Amazon,Purchase,Recently_Added,"Apr 04, 2020","Apr 05, 2020"
Therapist,2017,MO,Amazon,New Prime,Recently_Added,"Apr 04, 2020","Apr 05, 2020"
Tokyo Raiders,2000,MO,Amazon,New Rental,Recently_Added,"Apr 04, 2020","Apr 05, 2020"
Topkapi,1964,MO,Amazon,New Prime,Recently_Added,"Apr 04, 2020","Apr 05, 2020"
Valdez Is Coming,1971,MO,Amazon,New Prime,Recently_Added,"Apr 04, 2020","Apr 05, 2020"
Whale Caller,2017,MO,Amazon,New Prime,Recently_Added,"Apr 04, 2020","Apr 05, 2020"
Woodstock or Bust,2019,MO,Amazon,Purchase,Recently_Added,"Apr 04, 2020","Apr 05, 2020"
Xenophobia,2020,MO,Amazon,Purchase,Recently_Added,"Apr 04, 2020","Apr 05, 2020"
Zona Sur,2011,MO,Amazon,New Prime,Recently_Added,"Apr 04, 2020","Apr 05, 2020"
